cell_id,row,col,R_mean_diff,R_std_diff,G_mean_diff,G_std_diff,B_mean_diff,B_std_diff,NDVI_1_mean_diff,NDVI_1_std_diff,NDVI_2_mean_diff,NDVI_2_std_diff,NDVI_3_mean_diff,NDVI_3_std_diff,SWIR_1_mean_diff,SWIR_1_std_diff,SWIR_2_mean_diff,SWIR_2_std_diff,SWIR_3_mean_diff,SWIR_3_std_diff
64,1,24,31.70120048522949,31.370641708374023,39.5634994506836,22.298189163208008,21.32550048828125,16.869970321655273,34.37030029296875,68.0526123046875,143.8321075439453,30.39640998840332,0.0,0.0,79.10420227050781,45.65827560424805,237.5343017578125,27.796838760375977,32.1875,31.374910354614254
65,1,25,14.775500297546388,4.478872776031494,26.65530014038086,5.370147228240967,12.464099884033203,3.317455530166626,0.5648000240325928,5.744232177734375,128.2801055908203,2.8603923320770264,0.0,0.0,50.30899810791016,7.974429130554199,234.29049682617188,26.66104507446289,15.26449966430664,4.474364757537842
66,1,26,14.95699977874756,4.900505065917969,26.80909919738769,5.420411109924316,12.84969997406006,3.5200724601745605,0.9413999915122986,9.03615951538086,128.4700927734375,4.511508464813232,0.0,0.0,48.46939849853516,9.43017864227295,226.4335021972656,30.78437805175781,15.452699661254885,4.902362823486328
67,1,27,15.138999938964844,5.784762382507324,27.62809944152832,6.971297740936279,12.793700218200684,3.877646207809448,1.353600025177002,8.333831787109375,128.6746063232422,4.15017032623291,0.0,0.0,51.31819915771485,11.920451164245604,227.67300415039065,31.0047550201416,15.627699851989746,5.793624877929688
68,1,28,53.528900146484375,32.394474029541016,56.19559860229492,20.1455135345459,32.21969985961914,15.55538558959961,74.89659881591797,85.37759399414062,163.79629516601562,39.70217514038086,0.0,0.0,114.42749786376952,45.37776184082031,247.8070068359375,16.859079360961914,54.02379989624024,32.39204788208008
69,1,29,62.16849899291992,32.96809387207031,64.21839904785156,19.321046829223636,36.20690155029297,16.057575225830078,93.09760284423828,79.71855926513672,172.0316925048828,36.06185150146485,0.0,0.0,132.55490112304688,39.070987701416016,248.7238006591797,16.111358642578125,62.666500091552734,32.9749755859375
70,1,30,50.391300201416016,59.22221374511719,49.02190017700195,37.00797271728516,28.441499710083008,28.184362411499023,65.1895980834961,105.09602355957033,151.07229614257812,37.4384765625,0.0,0.0,100.96170043945312,75.04914855957031,237.27940368652344,26.36359405517578,50.8911018371582,59.2237548828125
71,1,31,27.1658992767334,32.43671798706055,33.34370040893555,21.85431289672852,17.401599884033203,15.519004821777344,28.82360076904297,68.45468139648438,141.66229248046875,32.03616714477539,0.0,0.0,63.82109832763672,49.59519577026367,206.7958068847656,39.85960006713867,27.656200408935547,32.443145751953125
72,1,32,49.480899810791016,39.57430648803711,48.24430084228516,24.267871856689453,27.37470054626465,16.76995849609375,79.30770111083984,98.90018463134766,166.081298828125,47.056434631347656,0.0,0.0,93.1060028076172,53.264530181884766,219.03030395507807,38.68576431274414,49.98199844360352,39.56574249267578
73,1,33,17.124900817871094,12.609659194946287,25.94969940185547,10.330728530883787,13.37339973449707,7.007180213928223,9.705599784851074,37.06401062011719,132.822998046875,18.39273452758789,0.0,0.0,41.48360061645508,20.91185760498047,174.7364959716797,33.048553466796875,17.61870002746582,12.59910774230957
