cell_id,row,col,min_lon,min_lat,max_lon,max_lat,lat,lon,quadrant,model,split,fold_id,true_delta_builtup,true_delta_water,true_delta_other,pred_delta_builtup,pred_delta_water,pred_delta_other,unc_delta_builtup,unc_delta_water,abs_error_delta_builtup,abs_error_delta_water,true_change_flag,pred_change_flag,confidence_label
55,1,15,11.078922399046055,49.54402324667246,11.087905551887252,49.5498517398657,49.546937493269084,11.083413975466653,NW,Linear Regression,spatial_group_kfold,3,0.0,0.0,-0.0,0.210034859894754,0.018958004769661106,-0.22899286466441512,0.1539189241361413,0.04729479450990394,0.210034859894754,0.018958004769661106,0,0,medium
56,1,16,11.087905551887252,49.54402324667246,11.096888704728448,49.5498517398657,49.546937493269084,11.09239712830785,NW,Linear Regression,spatial_group_kfold,3,0.0,0.0,-0.0,0.22083907075208464,0.008849696642763636,-0.22968876739484828,0.1341765642113456,0.03976488702186093,0.22083907075208464,0.008849696642763636,0,0,medium
57,1,17,11.096888704728448,49.54402324667246,11.105871857569644,49.5498517398657,49.546937493269084,11.101380281149046,NW,Linear Regression,spatial_group_kfold,3,0.0,0.0,-0.0,0.19111580888738838,0.00014599384494953728,-0.19126180273233792,0.07945310905814004,0.024669737061722215,0.19111580888738838,0.00014599384494953728,0,0,high
58,1,18,11.105871857569644,49.54402324667246,11.114855010410835,49.5498517398657,49.546937493269084,11.11036343399024,NW,Linear Regression,spatial_group_kfold,3,0.0,0.0,-0.0,-0.1556175947974867,-0.0787812784150741,0.2343988732125608,0.0677634364877616,0.025693603152460536,0.1556175947974867,0.0787812784150741,0,0,high
59,1,19,11.114855010410835,49.54402324667246,11.123838163252032,49.5498517398657,49.546937493269084,11.119346586831433,NW,Linear Regression,spatial_group_kfold,3,-0.31,0.0,0.31,-0.292024169630556,-0.011695472770158505,0.3037196424007145,0.09878944895223685,0.023815242641549057,0.017975830369444,0.011695472770158505,0,0,high
60,1,20,11.123838163252032,49.54402324667246,11.13282131609323,49.5498517398657,49.546937493269084,11.12832973967263,NE,Linear Regression,spatial_group_kfold,2,-0.02,0.0,0.02,-0.3117895635735747,0.06548127368209883,0.24630828989147585,0.203081716638195,0.10893749416435397,0.29178956357357466,0.06548127368209883,0,0,low
61,1,21,11.13282131609323,49.54402324667246,11.141804468934424,49.5498517398657,49.546937493269084,11.137312892513826,NE,Linear Regression,spatial_group_kfold,2,0.09,-0.18,0.09,-0.38153934391873523,0.02587531174209318,0.35566403217664205,0.1962690938250208,0.05130687943628222,0.4715393439187352,0.20587531174209317,0,0,low
62,1,22,11.141804468934424,49.54402324667246,11.15078762177562,49.5498517398657,49.546937493269084,11.146296045355022,NE,Linear Regression,spatial_group_kfold,2,-0.39,0.0,0.39,-0.25608593532240953,0.02966503431724945,0.22642090100516007,0.11584034363955988,0.0688451740325145,0.13391406467759048,0.02966503431724945,0,0,high
63,1,23,11.15078762177562,49.54402324667246,11.159770774616817,49.5498517398657,49.546937493269084,11.155279198196219,NE,Linear Regression,spatial_group_kfold,2,0.17,0.0,-0.17,-0.751317231541038,0.056034355212194485,0.6952828763288436,0.2190778170077292,0.1420766681237702,0.9213172315410381,0.056034355212194485,0,0,low
64,1,24,11.159770774616817,49.54402324667246,11.16875392745801,49.5498517398657,49.546937493269084,11.164262351037413,NE,Linear Regression,spatial_group_kfold,2,-0.1,0.03,0.07,-0.28777766005763483,-0.05295960093119964,0.3407372609888345,0.09665590903745888,0.04622229989866615,0.18777766005763483,0.08295960093119964,0,0,high
